ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
1,Ill Health Retirement,08/2012,1984,2004,Public Servant,A01-A04,Central Office,Corporate Strategy and Peformance,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,N,A,A,A,A,N,N,N,A,A,A,N,A,A,N,N,N,Male,56-60,,,,,Yes,1
2,Voluntary Early Retirement (VER),08/2012,Not Stated,Not Stated,Public Servant,AO5-AO7,Central Office,Corporate Strategy and Peformance,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,N,N,A,A,A,N,N,N,A,A,A,N,A,A,N,N,N,Male,56-60,,,,,,1
3,Voluntary Early Retirement (VER),05/2012,2011,2011,Schools Officer,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,1,1,N,N,N,N,N,N,N,N,N,N,N,A,A,N,N,N,N,Male,61 or older,,,,,,1
4,Resignation-Other reasons,05/2012,2005,2006,Teacher,Primary,Central Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,N,N,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,36-40,,,,,,1
5,Age Retirement,05/2012,1970,1989,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,D,D,N,A,A,A,A,A,A,SA,SA,D,D,A,N,A,M,Female,61 or older,,,,,,1
6,Resignation-Other reasons,05/2012,1994,1997,Guidance Officer,,Central Office,Education Queensland,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SD,0,0,1,SD,D,D,A,,SA,A,A,N,N,D,A,D,D,D,D,,Female,41-45,,,,,,1
7,Age Retirement,05/2012,1972,2007,Teacher,Secondary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,1,0,1,A,A,D,D,SA,D,N,N,D,D,N,N,D,D,D,D,SD,Female,56-60,,,,,,1
8,Age Retirement,05/2012,1988,1990,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SA,SA,SA,SA,A,SA,SA,A,,A,N,A,SA,A,SA,,SA,Female,61 or older,,,,,,1
9,Resignation-Other reasons,07/2012,2009,2009,Teacher,Secondary,North Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,1,1,1,N,SD,SD,D,D,N,A,,SD,SD,N,D,SD,D,A,D,N,Female,31-35,,,,,,1
10,Resignation-Other employer,2012,1997,2008,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,0,0,A,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,Female,46-50,,,,,,0
